transaction_id, timestamp, loginAttempts, amount
TX000406,2023-12-14T18:53:34,1,212,74
TX000411,2023-09-26T18:36:46,1,390,35
TX000415,2023-05-15T18:47:35,5,83,50
TX000425,2023-02-03T18:15:15,1,119,72
TX000427,2023-01-17T18:42:28,1,115,92
TX000428,2023-08-24T18:54:06,1,438,04
TX000429,2023-05-01T18:28,1,677,29
TX000444,2023-10-11T18:50:24,1,136,32
TX000455,2023-10-18T18:32:31,4,611,11
TX000459,2023-09-18T18:47:52,1,275,92
TX000464,2023-10-18T17:47:52,5,302,16
TX000469,2023-11-03T18:33:50,1,346,85
TX000472,2023-11-27T18:26:02,1,206,46
TX000473,2023-07-25T18:41:02,1,423,11
TX000476,2023-09-04T18:46:40,1,1431,30
TX000479,2023-07-20T18:23:13,1,334,89
TX000490,2023-03-27T18:47:56,1,166,68
TX000492,2023-03-14T16:25:04,5,505,19
TX000508,2023-04-26T18:35:50,1,37,57
TX000509,2023-09-15T17:09:41,5,127,00
TX000520,2023-06-26T18:39:52,1,121,91
TX000529,2023-03-31T18:57:11,1,42,55
TX000535,2023-03-27T18:52:04,1,227,22
TX000548,2023-04-10T18:26:56,4,97,09
TX000552,2023-04-14T17:21:48,4,106,16
TX000553,2023-06-06T18:53:35,1,245,93
TX000563,2023-02-13T18:42:09,1,106,39
TX000568,2023-03-24T18:50:42,1,350,14
TX000569,2023-08-03T18:49:37,1,163,94
TX000570,2023-02-06T18:59:44,1,170,53
TX000585,2023-02-27T18:23:11,1,992,17
TX000589,2023-06-19T17:31:08,4,178,88
TX000590,2023-10-23T18:37:47,1,518,85
TX000593,2023-03-06T18:27:13,1,107,03
TX000595,2023-05-02T17:24:26,4,312,47
TX000600,2023-05-15T18:41:05,1,435,50
TX000604,2023-02-16T18:56:44,1,769,97
TX000608,2023-07-04T16:25:35,4,32,54
TX000609,2023-09-08T18:24:14,1,121,82
TX000610,2023-09-13T18:49:55,1,56,12
TX000615,2023-04-28T18:11:55,1,1342,25
TX000616,2023-08-30T18:00:09,1,139,03
TX000626,2023-08-22T18:11:16,1,821,54
TX000630,2023-08-29T18:30:36,1,374,61
TX000645,2023-01-16T18:57:13,1,159,32
TX000647,2023-02-03T18:03:56,1,56,89
TX000648,2023-03-10T18:26:19,1,20,22
TX000658,2023-04-25T18:58:32,1,443,68
TX000665,2023-01-02T18:35:07,1,245,67
TX000666,2023-08-07T16:57:22,4,152,18
TX000668,2023-07-18T18:03:03,1,373,27
TX000670,2023-05-04T16:25:15,4,126,22
TX000686,2023-08-28T16:08:54,5,119,30
TX000687,2024-01-01T18:21:50,1,280,92
TX000692,2023-10-16T18:53:31,5,25,94
TX000694,2023-03-15T18:42:16,5,733,29
TX000699,2023-09-12T18:46:45,1,470,30
TX000707,2023-05-10T18:49:20,1,642,54
TX000715,2023-10-20T18:34:41,1,1,87
TX000716,2023-06-15T18:57:42,1,78,92
TX000725,2023-09-01T18:05:37,1,39,11
TX000729,2023-04-10T18:27:51,1,504,71
TX000732,2023-05-15T18:15:33,1,230,32
TX000736,2023-02-21T18:41:39,1,244,64
TX000737,2023-12-04T18:27:11,1,321,93
TX000743,2023-07-06T18:16:05,1,29,22
TX000762,2023-05-24T18:32:58,1,384,10
TX000765,2023-09-04T18:37:57,1,542,72
TX000772,2023-11-29T18:38:41,1,101,19
TX000773,2023-01-17T17:25:13,4,827,14
TX000774,2023-05-22T18:45:23,1,61,97
TX000778,2023-11-10T18:02:07,1,88,40
TX000787,2023-08-21T18:36:41,1,111,21
TX000789,2023-12-20T18:58:27,1,260,63
TX000792,2023-08-17T18:32:19,1,64,50
TX000793,2023-01-11T16:56:58,5,253,55
TX000797,2023-01-23T18:06:58,1,51,07
TX000802,2023-02-21T18:13:02,1,268,39
TX000804,2023-08-14T18:01:36,1,560,15
TX000808,2023-11-07T17:38:05,4,668,67
TX000814,2023-12-07T18:28:50,1,542,75
TX000816,2023-02-20T18:03:01,1,280,99
TX000819,2023-06-19T18:12:16,1,372,41
TX000820,2023-07-25T18:28:57,1,63,17
TX000828,2023-10-10T18:12:07,1,108,96
TX000829,2023-12-18T18:34:33,1,70,03
TX000837,2023-08-10T18:30:37,1,474,05
TX000838,2023-05-10T16:15:31,4,39,21
TX000843,2023-12-27T18:55:13,1,226,66
TX000848,2023-03-20T18:12:30,1,214,83
TX000851,2023-02-08T18:27:49,4,23,40
TX000862,2023-11-15T18:56:02,1,141,80
TX000863,2023-10-09T18:20:39,1,209,03
TX000865,2023-05-15T18:44:04,1,261,14
TX000868,2023-03-03T18:23:29,1,87,38
TX000873,2023-06-05T18:09:44,1,164,51
TX000874,2023-07-03T18:46:29,1,758,12
TX000880,2023-08-07T18:02:59,1,52,95
TX000882,2023-09-06T18:43:52,1,220,80
TX000893,2023-05-19T18:32:45,1,523,02
TX000899,2023-10-23T18:00:29,4,1531,31
TX000907,2023-02-27T18:33:48,1,29,22
TX000910,2023-11-16T17:57:45,4,120,86
TX000917,2023-05-23T17:12:39,4,337,73
TX000921,2023-02-23T18:23:29,1,74,04
TX000929,2023-01-30T18:50,1,22,26
TX000932,2023-04-28T18:52:30,1,38,81
TX000933,2023-04-03T16:01:51,4,76,51
TX000934,2023-03-10T18:59:46,1,32,46
TX000939,2023-09-27T18:52:36,1,35,05
TX000940,2023-11-10T18:28:09,1,214,73
TX000945,2023-02-13T18:17:28,1,11,04
TX000954,2023-04-10T17:53:04,5,119,95
TX000962,2023-08-11T17:57:52,5,353,59
TX000970,2023-08-21T18:06:59,1,388,10
TX000974,2023-06-16T18:47:34,1,19,59
TX000987,2023-12-25T18:29:05,1,213,28
TX000989,2023-10-30T18:44:22,1,471,88
TX001008,2023-10-12T18:11:27,1,297,15
TX001030,2023-10-30T18:58:42,1,880,04
TX001034,2023-08-17T18:31:23,1,43,91
TX001035,2023-12-18T18:41:26,1,98,03
TX001038,2023-12-04T18:01:53,1,107,48
TX001040,2023-06-12T18:30:51,1,575,62
TX001043,2023-12-04T17:54:09,5,180,65
TX001052,2023-12-21T18:44:40,1,175,21
TX001058,2023-01-06T16:13:53,4,83,07
TX001059,2023-07-25T18:04:46,1,730,10
TX001066,2023-05-19T18:44:23,1,212,88
TX001077,2023-12-18T18:25:05,1,82,17
TX001094,2023-04-20T18:39:10,1,122,63
TX001098,2023-09-05T18:45:04,1,451,35
TX001103,2023-05-19T18:47:11,1,64,92
TX001112,2023-03-28T18:19:10,1,508,16
TX001122,2023-02-02T16:55:25,5,303,97
TX001125,2023-02-23T18:42:51,1,47,60
TX001127,2023-10-16T18:15:48,1,372,50
TX001130,2023-08-29T18:30:14,1,316,56
TX001131,2023-07-06T18:10:59,1,9,18
TX001137,2023-03-06T16:45:24,5,341,67
TX001156,2023-08-21T18:07:14,1,501,15
TX001157,2023-08-30T18:38:56,2,917,81
TX001169,2023-11-14T18:49:52,2,202,55
TX001172,2023-10-19T18:11:23,1,487,32
TX001179,2023-05-29T18:55:01,1,752,69
TX001181,2023-02-24T18:05:12,1,50,00
TX001196,2023-12-29T18:07:04,1,292,08
TX001199,2023-09-05T18:45:22,1,201,73
TX001202,2023-06-06T18:31:06,1,471,75
TX001214,2023-12-21T16:21:27,5,1192,20
TX001215,2023-08-14T18:14:23,1,50,75
TX001218,2023-09-25T18:46:41,1,23,38
TX001223,2023-07-10T18:00:56,1,231,92
TX001225,2023-07-03T18:56:03,1,302,86
TX001228,2023-12-26T18:13:56,1,178,43
TX001243,2023-10-10T18:14:12,1,430,98
TX001244,2023-12-11T18:32:40,1,13,87
TX001255,2023-06-15T18:28:50,4,142,19
TX001266,2023-08-10T18:39:04,1,595,91
TX001267,2023-08-09T18:42:25,1,6,03
TX001272,2023-06-02T18:12:29,1,188,13
TX001284,2023-07-07T17:40:58,5,170,19
TX001285,2023-08-21T18:51:06,1,155,51
TX001288,2023-04-18T18:55:32,1,451,68
TX001311,2023-09-11T18:08:19,1,52,23
TX001317,2023-09-18T18:35:23,1,220,23
TX001324,2023-05-29T18:40:32,1,247,58
TX001328,2023-10-11T18:04:39,1,215,72
TX001332,2023-11-03T18:37:18,1,608,79
TX001357,2023-11-08T18:32:44,1,406,65
TX001362,2023-01-03T18:18:14,1,61,98
TX001364,2023-09-21T16:08,5,204,70
TX001376,2023-09-13T18:11:22,1,221,49
TX001380,2023-07-25T18:00:25,1,77,53
TX001383,2023-06-20T18:43:51,1,411,72
TX001386,2023-06-09T18:33:04,1,23,01
TX001393,2023-03-13T18:24:20,1,5,29
TX001402,2023-10-06T18:39:39,1,66,01
TX001412,2023-06-08T18:54:04,1,68,28
TX001414,2023-01-16T18:02:19,1,362,68
TX001421,2023-01-30T18:47:17,1,66,91
TX001424,2023-12-20T18:12:25,1,1076,98
TX001426,2023-02-06T18:39:23,1,567,71
TX001434,2023-08-04T18:34:01,1,101,23
TX001445,2023-03-27T18:08:06,1,169,28
TX001449,2023-11-14T18:33:32,1,39,24
TX001451,2023-05-08T18:36:59,1,78,77
TX001457,2023-05-11T18:31:20,1,105,37
TX001466,2023-04-17T18:42:04,1,272,97
TX001472,2023-04-03T18:37:57,1,153,07
TX001475,2023-07-10T18:34:22,1,235,42
TX001478,2023-12-22T18:24:01,1,997,37
TX001481,2023-12-11T18:43,1,366,93
TX001485,2023-09-13T18:38:27,1,440,94
TX001492,2023-12-18T18:26:07,1,506,26
TX001494,2023-11-27T18:01:47,1,389,43
TX001504,2023-12-04T18:06:30,1,64,58
TX001508,2023-08-11T18:42:10,1,285,49
TX001509,2023-01-16T18:03:02,1,71,87
TX001511,2023-07-28T18:42:51,1,135,35
TX001550,2023-07-18T18:06:23,1,458,94
TX001551,2023-09-25T18:48:58,1,327,35
TX001554,2023-08-03T18:18:56,1,47,23
TX001558,2023-06-13T17:26:54,5,262,43
TX001561,2023-06-07T18:18:32,1,111,66
TX001568,2023-03-06T18:04:32,1,159,00
TX001572,2023-08-23T18:19:06,1,101,28
TX001573,2023-10-09T18:41:21,1,299,92
TX001581,2023-11-08T18:24:56,1,469,46
TX001582,2023-04-17T18:22:37,1,37,58
TX001585,2023-01-05T16:40:09,5,434,17
TX001594,2023-11-07T18:57:13,1,854,64
TX001596,2023-10-09T18:23:25,1,220,68
TX001604,2023-01-11T18:07:25,1,109,43
TX001615,2023-11-28T18:04:26,1,116,27
TX001618,2023-10-30T18:14:15,1,64,01
TX001619,2023-10-17T16:09:20,4,108,75
TX001621,2023-09-13T18:47:47,1,206,84
TX001650,2023-07-20T18:26:11,1,29,50
TX001651,2023-12-25T18:03:33,1,54,34
TX001659,2023-10-02T18:21:39,1,165,55
TX001661,2023-12-06T18:15:42,1,285,69
TX001664,2023-11-03T18:44:38,1,27,94
TX001670,2023-05-29T18:27:43,1,261,63
TX001681,2023-08-21T18:11:41,1,93,63
TX001689,2023-06-09T16:20:12,4,109,28
TX001690,2023-09-20T18:16:03,1,27,51
TX001691,2023-04-20T18:50:39,1,12,18
TX001705,2023-03-30T18:20:58,1,148,77
TX001706,2023-02-06T18:18:26,1,14,08
TX001712,2023-05-19T18:54:32,1,318,92
TX001730,2023-10-18T18:26:25,1,73,01
TX001732,2023-10-19T18:06:08,5,1,93
TX001734,2023-04-07T16:04:01,4,238,54
TX001735,2023-08-21T18:51:11,1,1011,22
TX001743,2023-08-03T18:19:53,1,117,66
TX001750,2023-01-20T18:31:25,1,42,09
TX001755,2023-04-03T18:22:02,1,270,54
TX001756,2023-08-14T18:08:27,1,247,93
TX001765,2023-06-15T18:45:38,1,57,16
TX001770,2023-05-01T18:38:15,1,168,99
TX001772,2023-06-01T18:27:12,1,40,90
TX001775,2023-02-22T17:01:35,5,17,79
TX001799,2023-02-20T18:56:31,1,683,75
TX001801,2023-09-29T18:23:17,1,315,94
TX001802,2023-06-05T17:24:29,5,331,32
TX001804,2023-10-27T18:28:05,1,216,03
TX001808,2023-11-06T18:42:53,1,218,07
TX001809,2023-11-20T18:53:47,1,291,09
TX001812,2023-01-05T18:29:09,1,73,83
TX001813,2023-04-13T18:15:52,1,67,33
TX001814,2023-05-18T18:15:02,1,26,92
TX001827,2023-08-15T18:22:03,1,178,39
TX001854,2023-07-14T18:11:41,1,201,50
TX001865,2023-02-24T18:22:31,1,156,74
TX001868,2023-09-21T18:13:38,1,7,61
TX001876,2023-08-09T18:38:49,1,132,48
TX001877,2023-08-14T16:46:26,4,136,48
TX001879,2023-09-08T18:16:31,1,750,95
TX001885,2023-12-04T16:57:39,5,451,31
TX001888,2023-09-08T16:09:45,4,74,11
TX001890,2023-06-12T18:56:58,1,777,92
TX001896,2023-02-20T18:48:52,1,49,67
TX001899,2023-01-24T18:43:06,1,133,56
TX001933,2023-11-15T18:04:22,1,112,91
TX001949,2023-01-23T18:45,1,224,22
TX001964,2023-10-16T18:57:30,1,483,92
TX001969,2023-09-12T18:52:56,1,705,34
TX001970,2023-08-03T18:35:54,5,146,55
TX001973,2023-03-27T18:06:17,1,1087,90
TX001989,2023-08-07T18:07:57,1,291,68
TX001994,2023-04-25T18:47:16,1,568,68
TX001999,2023-09-20T18:18,1,61,33
TX002006,2023-01-30T18:49:52,1,347,25
TX002007,2023-02-15T16:37:09,5,28,04
TX002013,2023-12-05T18:33:02,1,434,67
TX002019,2023-06-27T18:26:08,1,306,37
TX002024,2023-05-30T18:29:15,1,241,18
TX002030,2023-08-22T18:41:50,1,885,33
TX002044,2023-03-20T18:51:53,1,248,76
TX002052,2023-01-12T18:07:21,1,261,77
TX002053,2023-10-05T18:40:15,1,183,22
TX002054,2023-07-31T16:21:15,4,58,32
TX002056,2023-12-25T18:16:39,1,120,67
TX002057,2023-10-06T18:59:06,1,308,62
TX002061,2023-10-17T18:02:43,1,72,47
TX002064,2023-06-26T18:41:55,1,351,38
TX002065,2023-11-20T18:40:45,1,86,07
TX002066,2023-08-08T18:39:24,1,604,50
TX002071,2023-06-26T18:51:31,1,446,83
TX002072,2023-05-22T18:23:18,1,63,54
TX002073,2023-10-16T18:07:26,1,81,11
TX002074,2023-02-27T16:07:46,5,441,26
TX002080,2023-10-09T18:54:21,1,738,94
TX002083,2023-11-30T18:08:39,1,359,51
TX002087,2023-12-04T18:30,1,1192,95
TX002090,2023-07-04T18:55:57,1,45,90
TX002094,2023-05-22T18:27:37,1,501,30
TX002099,2023-07-27T18:34:19,1,25,29
TX002101,2023-09-22T18:02:42,1,139,52
TX002102,2023-03-13T18:45:47,1,51,20
TX002125,2023-01-03T16:28:03,4,737,46
TX002127,2023-10-16T18:38:15,1,84,91
TX002129,2023-02-17T18:46:59,1,18,14
TX002146,2023-03-08T18:51:57,1,5,29
TX002152,2023-08-07T18:52:42,1,927,45
TX002159,2023-08-25T18:24:06,1,136,82
TX002160,2023-02-16T17:34:34,5,624,00
TX002161,2023-08-10T18:31,1,179,38
TX002162,2023-02-23T16:51:34,5,10,15
TX002169,2023-07-17T18:24:15,1,431,08
TX002171,2023-07-18T18:11:40,1,200,19
TX002181,2023-10-23T18:41:35,1,498,59
TX002185,2023-02-17T18:01:18,1,230,51
TX002186,2023-06-12T18:51:29,1,237,74
TX002189,2023-01-23T18:35:43,1,85,01
TX002196,2023-12-04T18:11:56,1,393,74
TX002204,2023-06-27T18:14:30,1,168,34
TX002205,2023-10-06T18:26:45,1,474,77
TX002216,2023-11-06T18:59:24,1,1413,24
TX002232,2023-07-03T18:03:48,1,67,17
TX002234,2023-02-13T18:36:21,1,118,69
TX002235,2023-10-18T18:17:05,1,221,33
TX002246,2023-11-27T18:28:57,1,36,25
TX002248,2023-10-02T18:57:19,1,207,47
TX002249,2023-04-03T18:41:57,1,199,70
TX002257,2023-02-24T18:25:34,1,317,53
TX002263,2023-03-02T18:36:55,4,15,81
TX002265,2023-03-09T18:04:32,1,638,24
TX002272,2023-11-29T18:03:46,2,308,85
TX002276,2023-06-01T18:04:35,1,490,82
TX002277,2023-01-27T18:59:43,1,1021,38
TX002281,2023-07-06T18:09:06,1,333,67
TX002289,2023-11-09T18:45:10,4,336,01
TX002292,2023-09-06T18:56:24,1,52,44
TX002302,2023-09-28T18:53:02,1,294,61
TX002306,2023-12-04T18:43:37,1,5,66
TX002307,2023-11-07T18:44:46,1,209,09
TX002311,2023-03-14T17:06:18,5,176,52
TX002316,2023-12-28T18:53:29,1,56,15
TX002318,2023-05-12T18:38:11,1,535,40
TX002323,2023-08-28T18:32,1,802,89
TX002341,2023-10-23T18:46:51,1,338,69
TX002352,2023-02-06T18:39:50,1,12,35
TX002357,2023-01-30T18:50:14,1,423,96
TX002370,2023-01-26T18:07,1,459,29
TX002372,2023-09-11T16:35:15,4,21,23
TX002373,2023-10-16T18:47:17,3,95,23
TX002380,2023-07-31T18:52:14,1,684,50
TX002387,2023-02-13T18:27:34,1,57,38
TX002388,2023-05-15T18:30:55,1,94,64
TX002407,2023-07-25T18:58:19,1,74,72
TX002409,2023-08-28T18:27:59,1,275,87
TX002424,2023-06-21T16:38:54,4,332,06
TX002430,2023-12-29T18:29:23,1,83,60
TX002432,2023-11-16T18:09:35,1,57,49
TX002441,2023-07-20T18:13:07,1,219,44
TX002448,2023-04-06T18:06:12,1,163,22
TX002453,2023-04-24T18:29:26,1,66,76
TX002476,2023-12-18T18:11:24,1,152,00
TX002499,2023-10-04T18:25:44,1,43,10
